Product_name,Category,Review,Overall Sentiment Score,reviewer_name,age,gender,area
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,"Took long time and customer service team response was not satisfied ( while they put me on hold chat end and I have to re inform again with new agent and again from the beginning I have to explain them, that was very annoying ) ",3,Taylor Emma,38,Female,Northern
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,We know about the product. what we did not know is the delivery speed. got it in Jaffna on the following day .,2,Vithujan Michael,49,Female,North Central
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,thank u happy with it thanks. ,0,Davis Matthew,71,Female,Western
"Rin Refresh Detergent Powder, 500g",Laundry,"Better product, faster shipping, cheaper purchase",1,Taylor Jane,38,Female,North Central
"Rin Refresh Detergent Powder, 500g",Laundry,Products recieved as mentioned. Fast delivery. Thanks.,1,Soosai Sophia,32,Male,Eastern
"Rin Refresh Detergent Powder, 500g",Laundry,package damage.☹️😤,2,Christopher David,58,Female,Sabaragamuwa
"Rin Refresh Detergent Powder, 500g",Laundry,The Best Product. Delivered items fast and safely through through Dmart Express Delivery.Big thanks to Daraz Dmart team.Wishing you both companies a lot of success.,0,Soosai Thinesh,74,Female,Northern
"Rin Refresh Detergent Powder, 500g",Laundry,"Fast delivery, all the items were well packed. Thank you Daraz ! Hope to buy more from DarazMall 😍",0,Anderson Emma,24,Male,North Central
"Rin Refresh Detergent Powder, 500g",Laundry,Loved the discount. Good product. Thanks ,0,Wilson Sophia,30,Female,North Western
"Rin Refresh Detergent Powder, 500g",Laundry,Good packing. Fast delivery. I'm really satisfied .😊 Thank you daraz.👍,0,Kumar Zidan,63,Male,Southern
"Rin Refresh Detergent Powder, 500g",Laundry,Well packed all these things amazing..highly recommended💕,1,Bathri Saini,35,Male,North Central
"Rin Refresh Detergent Powder, 500g",Laundry,Safely packed. Original products.,0,Bathri Vinoth,68,Female,Eastern
"Rin Refresh Detergent Powder, 500g",Laundry,safely packed. good seller,0,Davis Daniel,35,Male,Southern
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,Good quality product. Good packing. Fast delivery. Highly recommended. Thank you daraz.,0,Smith Michael,61,Male,Northern
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,Price is different. ,2,Maryam Sophia,69,Male,Central
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,Quick delivery.nicely packed.Item as described.Recommended,2,Kumar Sophia,47,Female,Uva
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,received within 24h 😊 in good condition ☺️. well packed.,0,Williams Karthi,53,Female,Western
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,so many damages to box of the package ,4,Davis Michael,24,Male,Central
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,"Good quality, well packed and quick delivery.",0,Davis Vinoth,49,Female,Southern
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,Received in good condition. Super fast delivery. Received within few hours after i place the order. Sold it for less price than the market price. Thanks and Happy bday daraz❤,0,Maryam David,55,Female,North Central
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,only 5 repees less from the sunlight soap its orginal cost is 55 rupees local sellers from our area they can also reduce 5 rupees,2,Bathri Albert,41,Male,Eastern
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,Not upto my expectations. I find Wonderlight soap better in my washing purposes.,2,Vithujan Michael,49,Female,North Central
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,Got the products for a huge discounted price and was delivered in less than 3 hours after placing the order,1,Kumar David,73,Female,Sabaragamuwa
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,I received my package earlier...Thanks a lot Daraz. Good Customer Service...Rider's service is supperb. Credit goes to hom,0,Miller Matthew,44,Female,North Western
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,Fine Same as picture.,0,Davis Daniel,35,Male,Southern
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,Much appreciated,0,Taylor Saini,34,Female,Uva
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,It’s quality is ok but not a high quality product. Delivery time is very long. They take 3-6 days to delivered. Delivery very slow. Smell 👃 is ok 👍,1,Davis Saini,50,Female,Southern
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,Good product. Worth for money. Can recommend the seller. Delivered quickly and Safely. By the way this was my second order.,0,Brown Michael,42,Female,Uva
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,Good product. Delivery is very slow. Because they take more than 5days to deliver. ,1,Bathri John,70,Male,North Central
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,Good product & fast Delivery. My first order. Highly Recommended this seller 👍,0,Kumar Daniel,59,Female,Northern
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,delivery too much late ,2,Williams Thinesh,39,Female,Eastern
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,very low quality.... 😕 ,4,Wilson Zidan,25,Female,Northern
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,No fragrance ,4,Bathri Zidan,33,Female,Uva
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,Good smell ,1,Johnson John,21,Female,North Western
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,I Ordered conditioner … but I received dish wash But anyway I return it …. But products are so valuable but customer service 👎,0,Johnson Emma,28,Male,Central
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,This fabric softener is soo good and affordable too. I hope to buy more in future. Thank you for great customer service.,0,Christopher Emma,29,Female,North Central
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,"useless product. After wash don't get the fragrance, I get only the washing powder fragrance. supplier inform manufacture not to cheat the consumers. ",2,Christopher Jane,34,Male,Sabaragamuwa
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,"I ordered 1 of 4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains and 1 of 4L Comfort Perfume Rose After Wash Fabric Conditioner Royale Liquid but I received 2 of 4L Comfort Perfume Rose After Wash Fabric Conditioner Royale Liquid and managed to share with a friend Anyway thank you for speedy delivery. ",0,Kumar Saini,53,Female,Northern
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,when we open the bottle it comes a good & nice smell but when we put the liquid in to the cloths it doesn't shows any different & it doesn't come even a good smell.,0,Wilson Karthi,45,Female,North Western
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,fast delivery 🚚🚚 but quality is not good,4,Vithujan John,33,Female,Sabaragamuwa
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,Good products for a reasonable price ,1,Johnson Jane,49,Male,Uva
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,good product . cheaper . thankyou ,1,Anderson Sophia,23,Male,North Western
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,The product came on time . Very good product,1,Miller Emily,42,Female,Southern
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,WELL PACKED Item as described Quickly delivered,1,Bathri John,70,Male,North Central
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,Thank you Darz & Unilever,1,Wilson Sophia,30,Female,North Western
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,Packed nicely. Delivered on time.,1,Wilson Matthew,42,Male,North Western
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,"There was a tear in the package and it has spilled some of the detergent powder. Not satisfied, should have used more of a solid packaging",2,Jones Matthew,23,Male,North Central
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,Recommended for guys who interested of buying from this site well packed delivered in time .,0,Anderson Zidan,48,Female,Sabaragamuwa
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,Great product! No issues! As good as purchasing in a store but a lot easier 😊,0,Davis David,66,Female,Western
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,Wrong item delivered and returned. Still refund has not been made ,4,Maryam David,55,Female,North Central
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,product was not delivered. please deliver it. Don't cheat,2,Brown Zidan,53,Male,Northern
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,super and very good discounts and good every is perfect ,0,Anderson Olivia,37,Female,Western
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,there were holes in the bags small damage,0,Anderson Zidan,48,Female,Sabaragamuwa
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,Some of the bags had tiny holes ,0,Soosai Thinesh,74,Female,Northern
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,Bag had a tiny hole,0,Vithujan David,57,Female,North Central
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,Good for front loading machines low studs ,1,Miller Daniel,69,Male,Northern
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,Items safely packed. Well done.,0,Vithujan Michael,49,Female,North Central
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,"Product quality is excellent... Newly manufactured and fresh, expiry date is not even closer... Original product directly from official store of the company... Unbelievable price with a good discount from daraz and credit card... Definitely worth for the money... Packaging was perfect and no damages what so ever... Shipped within a day to Matale... Seller and the item highly recommended...",0,Kumar Albert,37,Female,North Central
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,"safely packed well. I ordered more products from this Store. no complaints yet to this shop, the liquid is also wrapped with bubble wrap in a one by one and therefore any leaks. thanks a lot & I hope to shop with this store again...",0,Soosai Zidan,73,Male,Sabaragamuwa
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,Totally happy about the order and the product. Very important thing is this discount system is so good. Satisfied with the order 🖤,0,Christopher Jane,34,Male,Sabaragamuwa
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,super product as described.. I have got this below the market price. thanks daraz ,0,Maryam Vinoth,20,Female,Southern
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,These things not delivered ..but displaying delivered …is that a joke🤷‍♂️🧐🧐,2,Kumar Sophia,47,Female,Uva
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,I have never received this order. The refund has been done with partially ,2,Bathri Jane,56,Female,Sabaragamuwa
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,Not bad. It's just that prices are rising day by day,1,Taylor Jane,38,Female,North Central
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,Product as described and well packaged. Delivered within 3 days. Good quality.,0,Johnson Sophia,60,Female,Southern
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,"Good product, recommended. Package was well packed and very quickly delivered ",0,Bathri John,70,Male,North Central
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,Fast n efficient as always. Thanks Daraz. ,0,Miller Michael,45,Female,Western
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,"It was for the same price but, after receiving discounts the price was comparatively low. Received on time no any damages occurred",3,Davis Zidan,56,Female,Eastern
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,Got the package today... The seller gave a good service.,1,Christopher Emma,29,Female,North Central
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,I ordered 3 pieces sunlight pack.but there are only two is available.one is missing,1,Maryam Emily,22,Male,North Central
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,I received my order today . best products and best services . Thank you ☺☺,0,Taylor Matthew,72,Female,Western
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,Received an amazing 11/11 sale discount. Paid only around Rs 125. ,1,Christopher Matthew,23,Female,Uva
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,The items was the same as well shipped it very fast.The seller has packed it very well in a box. I got a reasonable price discount for these products. thank you. ,0,Bathri Saini,35,Male,North Central
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,lebaled price 140... but this product bill 170... over price.... ... i complain daraz service center .. but they didnt response my complain .. dont buy this product ..,3,Maryam Emma,39,Female,Sabaragamuwa
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,Full safety pack fast delivery thanks daraz,0,Anderson Karthi,41,Female,Eastern
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,Ordered in the morning delivered in the afternoon. Properly and safely packed and enclosed in a box. Good service and good product,0,Maryam Daniel,61,Female,Western
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,packing is really good. Good customer service. Thank you.,0,Kumar David,73,Female,Sabaragamuwa
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,"Highly recommend this store,well packed my order, Thanks",0,Anderson Emma,24,Male,North Central
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,Best quality with affordable price.Thanks to Daraz.,0,Brown Olivia,27,Female,Sabaragamuwa
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,easy way to pay out utility bill,0,Wilson Zidan,25,Female,Northern
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,Really good product.,1,Wilson Matthew,42,Male,North Western
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,"Recevied the product in good condition , Fast delivery , High quality products",1,Soosai Saini,38,Female,Sabaragamuwa
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,"Recevied the product in good condition , Fast delivery , High quality products",1,Davis Olivia,49,Male,Northern
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,The products were delivered just within 24 hrs and it was well packed and got it for a very reasonable price as well,1,Anderson Daniel,75,Male,Northern
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,Good item and fast delivery. Recommended to deal with daraz and thank u for your superb service.,0,Miller Zidan,56,Male,Sabaragamuwa
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,"Amazing smell after wash, kid friendly is a added bonus 👍",0,Wilson Jane,53,Male,Southern
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,Good product. Worth for money. Delivered quickly and Safely.,0,Bathri Emily,21,Male,Southern
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,Thick gel. Good smell. Haven't tried it in the case. Fast delivery. The packaging is good,0,Kumar Michael,24,Female,Sabaragamuwa
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,GOOD PRODUCT WORH THIS PRICE 👍👍👌👌,1,Wilson Thinesh,57,Male,Sabaragamuwa
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,Its definitely mixed with water. 80% water,1,Brown Jane,67,Male,Southern
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,good quality..recomanded,1,Wilson Thinesh,57,Male,Sabaragamuwa
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,its really bad... no foam at all. waste of money,3,Williams Jane,59,Male,Northern
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,Not recommend to buy. It’s just like water. Very low quality . Leakage in the packing ,4,Jones Olivia,47,Male,Central
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,Good. Worth for the price you pay. ,1,Wilson Daniel,62,Male,Eastern
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,👍 next time please do take extra measures to avoid leakage.. happy with the purchase,1,Maryam Jane,22,Female,Northern
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,Was packed well ! Amazing service Came within a day since I chose express delivery,0,Anderson Vinoth,61,Male,Eastern
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,very Good thanks. I got the offer thanks,0,Williams Michael,42,Female,Eastern
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,"Quick delivery 🚚 and quality products, Appreciate the service.. Thank you Daraz 🙌🏼",0,Miller David,29,Female,Western
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,damaged product,4,Kumar Jane,33,Male,Western
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,received. but small leak from one bottle ,4,Wilson Daniel,62,Male,Eastern
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,authentic product for best price,0,Christopher John,26,Male,North Western
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,Product and Packing 5/5 ,2,Taylor David,36,Male,Sabaragamuwa
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,The supplier has stated in the Q&A section the product mfg date as oct 21. But what he sent me today has mfg date printed as june 21. Hence with a shelf life of 2 yrs it will expire in less than a month. Now what am i going to do with 2 of these items i ordered believing expiry is oct 23? Why you deceive customers like this?,2,Davis Zidan,56,Female,Eastern
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,"Good item, was looking for something like this. Thanks. Contents seem satisfying.",0,Wilson Karthi,45,Female,North Western
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,I received my order within 24 hours. best products and best price .really appreciate the discount.,0,Christopher David,58,Female,Sabaragamuwa
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,Speed Delivery. Safe Packing Product is really good. I bought this spray for my car seats. It works well. Its sprays just like Mortin. It has a fragrance too. Definitely buy it again. Very useful in these days.,0,Jones David,50,Male,North Central
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,Speed Delivery. Safe Packing Product is really good. best products and best price .really appreciate the discount.,0,Wilson Albert,24,Male,Uva
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,Awesome product. Very well packaged. I’m so glad brought this to the market. ,0,Vithujan Thinesh,73,Male,North Western
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,Speed Delivery. Safe Packing Product is really good👍🏼 ,1,Christopher John,26,Male,North Western
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,Received in couple of days and works as expected.. A product one needs to have these days !,2,Taylor David,36,Male,Sabaragamuwa
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,Actual product does not say that it disinfect COVID-19 virus,2,Kumar Albert,37,Female,North Central
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,"The product is good. But, not worth for the money",2,Davis Olivia,49,Male,Northern
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,Love it but I don’t like the smell of it.,0,Taylor Emily,70,Female,Southern
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,"It says H1N1 on label but on description says covid19, it smells natural, ok for the price but cannot give 5 star",0,Maryam Sophia,69,Male,Central
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,Completely ridiculous smell! I got complains from family members because the smell is unbearable headache enducing. I request the Daraz marketing team to get the flower fragrance version of this Detol Disinfectant spray or simply with no fragrance because it's needed product for this pandemic but this pine cone fragrance is unbearable headaches enducing!,4,Jones Emily,53,Male,Eastern
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,Doesn't evaporate even after 2 minutes. Leaves an glueish texture when wiped from cloth.,4,Soosai Karthi,20,Female,Northern
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,"Terrible smell, it gives a headache. ",4,Wilson Zidan,25,Female,Northern
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,Damaged!!!,4,Jones John,37,Female,North Central
